carat,cut,color,clarity,depth,table,price,x,y,z,id
1.51,Very Good,G,VS2,61.5,59.0,11640.0,7.34,7.38,4.53,70
0.35,Ideal,G,VVS2,62.1,56.0,798.0,4.47,4.51,2.79,71
0.42,Ideal,H,IF,61.0,56.0,1135.0,4.79,4.82,2.93,72
1.02,Premium,D,SI2,61.5,58.0,4381.0,6.51,6.33,3.95,73
1.22,Ideal,I,VS1,62.9,54.0,6887.0,6.83,6.79,4.29,74
0.42,Premium,G,VVS1,59.8,58.0,1179.0,4.85,4.88,2.91,75
1.18,Ideal,E,VS1,61.4,57.0,11104.0,6.77,6.81,4.17,76
0.31,Ideal,F,IF,62.0,55.0,914.0,4.36,4.38,2.71,77
0.42,Ideal,I,SI1,61.0,56.0,914.0,4.86,4.83,2.96,78
0.36,Ideal,F,VS2,60.9,57.0,726.0,4.58,4.61,2.8,79
0.31,Premium,E,SI1,62.7,58.0,471.0,4.32,4.35,2.72,80
0.9,Premium,F,VS1,62.7,58.0,5088.0,6.14,6.17,3.86,81
0.4,Premium,H,VS1,61.3,59.0,1021.0,4.79,4.74,2.92,82
0.32,Premium,F,VS2,61.0,61.0,828.0,4.41,4.38,2.68,83
0.26,Ideal,D,VS1,62.0,55.0,452.0,4.1,4.12,2.55,84
0.3,Premium,E,SI2,61.7,61.0,540.0,4.31,4.28,2.65,85
43.3723319740966,Ideal,F,VVS1,61.1,56.0,1174.0,4.5,4.53,2.76,86
0.31,Ideal,H,SI1,62.4,55.0,464.0,4.31,4.35,2.7,87
1.0,Very Good,E,I1,63.0,57.0,3300.0,6.32,6.35,3.99,88
1.7,Premium,H,VS2,60.6,58.0,10333.0,7.72,7.65,4.66,89
0.54,Premium,J,VS2,62.6,58.0,1042.0,5.16,5.22,3.25,90
1.11,Ideal,J,SI2,62.5,57.0,4073.0,6.64,6.6,4.14,91
0.86,Ideal,I,VS2,63.0,53.0,2706.0,6.1,6.06,3.83,92
0.7,Fair,G,I1,62.5,59.0,1069.0,5.65,5.48,3.48,93
0.52,Ideal,E,VVS2,61.3,56.0,2675.0,5.18,5.2,3.18,94
0.54,Ideal,G,VVS2,60.6,56.0,2090.0,5.27,5.26,3.19,95
0.53,Premium,F,VS2,61.4,60.0,1753.0,5.21,5.18,3.19,96
1.02,Good,F,SI1,63.2,59.0,5301.0,6.35,6.38,4.02,97
0.52,Ideal,F,SI2,62.1,55.0,1191.0,5.14,5.17,3.2,98
2.02,Ideal,I,SI1,62.4,56.0,16128.0,8.07,8.11,5.05,99
2.29,Premium,J,IF,61.4,60.0,18426.0,8.45,8.49,5.2,100
0.9,Ideal,F,I1,61.8,57.0,2611.0,6.13,6.2,3.81,101
0.38,Very Good,E,VS2,61.2,56.0,740.0,4.67,4.71,2.87,102
1.0,Ideal,E,SI1,61.9,56.0,5458.0,6.37,6.45,3.97,103
0.72,Very Good,G,VVS2,60.4,58.0,3043.0,5.77,5.82,3.5,104
1.11,Premium,G,VS2,62.3,58.0,6713.0,6.65,6.61,4.13,105
0.91,Fair,D,VS2,65.1,63.0,4439.0,6.02,6.0,3.91,106
1.12,Premium,G,VS2,60.7,53.0,6774.0,6.81,6.7,4.1,107
0.71,Very Good,I,SI2,63.7,57.0,1875.0,5.64,5.67,3.6,108
0.7,Very Good,F,VS2,61.7,60.0,2744.0,5.63,5.65,3.48,109
0.76,Very Good,G,SI1,63.7,58.0,2579.0,5.75,5.8,3.68,110
1.01,Good,I,VS2,63.9,59.0,4197.0,6.29,6.26,4.01,111
1.03,Ideal,G,VS1,62.0,54.8,6913.0,6.46,6.5,4.02,112
0.5,Ideal,D,VS2,62.4,55.0,1653.0,5.09,5.1,3.18,113
1.5,Premium,E,SI2,61.1,58.0,7560.0,7.34,7.31,4.47,114
0.5,Very Good,F,SI2,62.4,56.0,1147.0,5.08,5.12,3.18,115
1.05,Ideal,G,VS2,61.6,59.0,6981.0,6.51,6.54,4.02,116
1.21,Very Good,H,SI1,63.1,60.0,5871.0,6.74,6.69,4.24,117
0.44,Good,F,SI2,56.6,63.0,974.0,5.11,5.06,2.88,118
0.3,Very Good,G,SI1,62.4,54.0,432.0,4.33,4.35,2.71,119
0.41,Ideal,E,SI2,60.7,57.0,683.0,4.81,4.85,2.93,120
0.31,Ideal,G,VVS1,60.8,56.0,816.0,4.36,4.39,2.66,121
1.52,Premium,G,VVS1,60.4,59.0,16104.0,7.48,7.38,4.49,122
0.42,Very Good,F,VVS1,63.0,59.0,1154.0,4.75,4.81,3.01,123
1.51,Very Good,D,VS1,62.8,57.0,15513.0,7.23,7.29,4.56,124
1.27,Good,I,VS2,63.3,63.0,5923.0,6.82,6.87,4.33,125
0.91,Good,H,SI1,63.8,56.0,3323.0,6.09,6.04,3.87,126
0.59,Ideal,H,VS2,62.2,59.0,1648.0,5.38,5.34,3.33,127
0.6,Ideal,E,SI1,61.3,56.0,1890.0,5.49,5.44,3.35,128
0.9,Fair,H,I1,66.9,63.0,1758.0,6.04,5.91,4.0,129
0.91,Very Good,H,SI1,63.4,59.0,3710.0,6.12,6.09,3.87,130
0.4,Ideal,G,SI2,62.4,56.0,573.0,4.71,4.75,2.95,131
0.23,Very Geod,E,VS1,60.4,62.0,378.0,3.93,3.99,2.39,132
1.1,Good,I,SI1,63.7,59.0,4497.0,6.56,6.5,4.16,133
0.9,Ideal,F,VS2,62.7,56.0,4678.0,6.17,6.2,3.88,134
0.38,Ideal,D,VS1,62.5,56.0,1140.0,4.67,4.64,2.91,135
0.84,Very Geod,D,SI1,59.9,54.0,4205.0,6.2,6.23,3.72,136
0.7,Good,E,VVS2,60.1,63.0,2857.0,5.68,5.71,3.42,137
1.29,Very Good,I,VS2,61.3,58.0,6099.0,6.98,7.04,4.3,138
0.31,Premium,G,VS2,62.6,57.0,698.0,4.32,4.3,2.7,139
0.31,Ideal,E,VVS2,61.6,55.0,816.0,4.35,4.38,2.69,140
1.01,Very Good,J,SI2,62.7,55.0,3793.0,6.42,6.44,4.03,141
0.25,Ideal,H,VS1,62.6,53.0,445.0,4.04,4.08,2.54,142
0.31,Ideal,E,VVS2,60.9,56.0,979.0,4.39,4.41,2.68,143
1.1,Ideal,D,VVS2,62.2,57.0,11550.0,6.58,6.54,4.08,144
1.06,Ideal,G,VVS2,61.4,56.0,9645.0,6.56,6.62,4.04,145
0.35,Ideal,F,VS2,61.4,54.0,706.0,4.54,4.58,2.8,146
1.52,Premium,H,SI1,61.0,58.0,9527.0,7.39,7.44,4.52,147
0.31,Ideal,D,VVS2,62.0,56.0,766.0,4.34,4.37,2.7,148
1.5,Good,H,SI2,63.6,60.0,6770.0,7.3,7.23,4.63,149
0.57,Ideal,D,SI1,62.4,56.0,1754.0,5.29,5.32,3.31,150
1.02,Premium,G,VS2,62.7,58.0,6169.0,6.45,6.4,4.03,151
1.41,Good,H,VS2,63.8,60.0,9088.0,7.04,7.12,4.52,152
1.02,Premium,G,VS2,62.5,58.0,6301.0,6.41,6.46,4.02,153
0.31,Premium,G,VVS1,60.2,59.0,816.0,4.38,4.43,2.65,154
1.02,Good,H,SI2,63.1,59.0,4207.0,6.37,6.43,4.04,155
0.33,Premium,D,VS2,60.8,60.0,762.0,4.52,4.46,2.73,156
0.3,Premium,G,IF,60.0,59.0,895.0,4.32,4.34,2.6,157
0.3,Ideal,F,IF,61.7,58.0,886.0,4.3,4.32,2.66,158
1.01,Ideal,G,VVS1,61.7,57.0,7805.0,6.42,6.39,3.95,159
0.5,Very Good,H,SI1,60.9,61.0,1133.0,5.06,5.15,3.11,160
2.0,Good,G,SI1,59.1,61.0,17930.0,8.14,8.18,4.82,161
0.3,Very Good,D,SI2,62.2,59.0,447.0,4.25,4.3,2.66,162
0.7,Fair,H,VS1,62.0,73.0,2100.0,5.65,5.54,3.47,163
1.07,Ideal,I,VS2,61.1,57.0,4319.0,6.66,6.6,4.05,164
0.32,Premium,E,SI1,60.4,61.0,672.0,4.42,4.39,2.66,165
0.53,Ideal,F,SI2,61.7,56.0,1142.0,5.23,5.24,3.23,166
1.5,Good,I,VS2,60.5,60.0,8780.0,7.26,7.32,4.41,167
0.7,Ideal,H,VS1,61.6,55.0,2530.0,5.73,5.76,3.54,168
0.9,Very Good,D,SI1,62.3,53.0,5123.0,6.2,6.22,3.87,169
1.46,Fair,G,SI2,64.6,54.0,5504.0,7.11,7.03,4.57,170
1.51,Very Good,J,SI2,62.8,59.0,6773.0,7.23,7.26,4.55,171
0.3,Premium,H,VVS2,61.0,61.0,776.0,4.32,4.3,2.63,172
1.08,Premium,F,VS2,62.1,59.0,7501.0,6.54,6.59,4.08,173
0.7,Ideal,F,VS1,62.4,56.0,2874.0,5.69,5.65,3.54,174
0.91,Very Good,J,VS2,61.9,59.0,3478.0,6.11,6.16,3.8,175
0.92,Premium,F,SI2,61.8,58.0,3854.0,6.19,6.23,3.84,176
0.4,Very Good,F,SI1,61.7,62.0,717.0,4.71,4.76,2.92,177
1.08,Ideal,E,VS2,62.0,54.0,7548.0,6.62,6.57,4.09,178
0.82,Premium,E,VS2,62.6,60.0,3577.0,5.97,5.91,3.72,179
0.23,Very Geod,E,VVS2,60.8,61.0,505.0,3.91,3.94,2.39,180
0.54,Premium,F,VS2,61.8,58.0,1786.0,5.29,5.22,3.25,181
1.01,Very Geod,D,SI1,61.1,58.0,5619.0,6.46,6.51,3.96,182
1.01,Ideal,I,SI1,62.2,56.0,4316.0,6.35,6.42,3.97,183
0.75,Very Good,H,VVS2,60.6,57.0,3002.0,5.86,5.89,3.56,184
0.58,Ideal,G,VS2,61.1,55.0,1951.0,5.42,5.38,3.3,185
1.14,Ideal,H,SI1,61.5,55.0,7079.0,6.72,6.75,4.14,186
0.2,Ideal,E,VS2,62.2,57.0,367.0,3.76,3.73,2.33,187
1.0,Very Good,F,SI2,61.9,59.0,3906.0,6.39,6.44,3.97,188
0.33,Ideal,F,IF,61.2,56.0,957.0,4.48,4.5,2.75,189
0.75,Ideal,E,SI2,62.1,57.0,2278.0,5.81,5.85,3.62,190
1.0,Good,I,VS1,63.7,56.0,5018.0,6.34,6.32,4.03,191
0.25,Ideal,G,VS2,61.4,57.0,459.0,4.08,4.1,2.51,192
1.21,Very Good,E,SI1,61.0,60.0,5885.0,6.83,6.88,4.18,193
0.3,Very Good,F,SI2,63.5,57.0,506.0,4.25,4.22,2.69,194
0.35,Ideal,E,VS1,61.9,56.0,851.0,4.53,4.55,2.81,195
0.56,Ideal,D,VS1,62.6,55.0,2057.0,5.25,5.29,3.3,196
0.7,Very Good,D,SI1,61.8,55.0,2726.0,5.73,5.76,3.55,197
2.44,Very Good,J,SI1,62.9,53.0,17472.0,8.58,8.62,5.41,198
0.29,Very Geod,F,VVS1,62.3,58.0,664.0,4.22,4.25,2.64,199
0.71,Very Geod,E,VS2,59.6,60.0,2954.0,5.8,5.85,3.47,200
0.72,Premium,J,VVS1,61.4,61.0,2203.0,5.77,5.7,3.52,201
1.01,Very Good,D,SI1,59.7,57.0,5533.0,6.53,6.56,3.91,202
1.07,Very Good,G,VS1,61.2,55.0,6780.0,6.63,6.67,4.07,203
0.32,Very Geod,H,VS1,61.7,58.0,561.0,4.37,4.41,2.71,204
0.7,Premium,F,SI1,60.2,58.0,2319.0,5.76,5.7,3.45,205
0.3,Premium,E,SI2,62.7,59.0,540.0,4.26,4.22,2.66,206
0.3,Ideal,G,VVS1,61.4,56.0,737.0,4.32,4.34,2.66,207
0.43,Premium,E,SI1,61.5,60.0,948.0,4.85,4.78,2.96,208
1.04,Ideal,G,VS2,62.5,57.0,6012.0,6.45,6.54,4.06,209
0.85,Good,J,VS1,63.6,57.0,2372.0,6.01,5.94,3.8,210
1.2,Premium,G,VS1,62.8,58.0,8602.0,6.84,6.75,4.27,211
1.51,Premium,I,VS1,63.0,59.0,9513.0,7.3,7.28,4.59,212
0.32,Premium,H,VS1,62.4,58.0,720.0,4.4,4.35,2.73,213
0.81,Very Good,F,VVS2,63.1,56.0,3992.0,5.99,5.9,3.75,214
0.34,Very Good,E,VS2,62.6,58.0,745.0,4.43,4.45,2.78,215
0.4,Good,E,SI1,64.2,56.0,882.0,4.69,4.66,3.0,216
1.01,Ideal,E,SI1,61.1,55.0,6132.0,6.47,6.52,3.97,217
0.31,Ideal,F,IF,62.3,53.0,914.0,4.35,4.38,2.72,218
1.86,Very Good,H,VVS2,58.6,62.0,17267.0,8.07,8.14,4.75,219
0.42,Ideal,I,IF,62.0,54.0,961.0,4.82,4.85,3.0,220
1.57,Ideal,H,I1,62.8,56.0,5170.0,7.42,7.36,4.64,221
0.42,Very Good,G,VS2,60.1,61.0,847.0,4.81,4.84,2.9,222
0.7,Good,G,SI1,63.7,60.0,2150.0,5.57,5.51,3.53,223
1.51,Very Geod,J,SI1,60.6,57.0,7125.0,7.38,7.46,4.5,224
0.31,Very Good,G,VS1,62.9,58.0,625.0,4.3,4.35,2.72,225
0.41,Premium,E,VS1,61.9,59.0,1153.0,4.8,4.77,2.96,226
1.06,Very Good,E,SI2,61.7,62.0,4570.0,6.5,6.54,4.02,227
0.24,Good,E,VVS1,63.8,56.0,499.0,3.95,3.98,2.53,228
0.45,Ideal,E,VVS2,61.9,56.0,1401.0,4.95,4.91,3.05,229
0.42,Very Good,G,SI1,61.9,55.0,798.0,4.78,4.88,2.99,230
0.62,Ideal,I,SI2,62.5,55.0,1161.0,5.45,5.49,3.42,231
1.0,Good,F,SI1,64.0,57.0,4452.0,6.33,6.29,4.04,232
0.35,Ideal,H,SI1,60.8,56.0,523.0,4.58,4.6,2.79,233
0.97,Premium,F,SI2,61.9,58.0,3993.0,6.35,6.31,3.92,234
0.8,Ideal,E,VS2,60.9,57.0,3930.0,6.01,6.05,3.67,235
0.72,Ideal,H,VS2,61.2,57.0,3018.0,5.79,5.77,3.54,236
0.32,Premium,G,VS2,60.1,61.0,672.0,4.44,4.41,2.66,237
0.63,Ideal,I,SI1,62.0,57.0,1372.0,5.47,5.49,3.4,238
1.06,Ideal,H,SI2,60.4,57.0,3799.0,6.64,6.58,3.99,239
0.31,Good,G,VS2,64.4,54.0,531.0,4.24,4.29,2.75,240
1.05,Ideal,E,VVS2,61.3,56.0,9843.0,6.55,6.59,4.03,241
0.35,Ideal,E,VS1,61.5,57.0,921.0,4.55,4.52,2.79,242
2.0,Very Good,I,VS2,63.3,56.0,16694.0,8.03,7.98,5.07,243
0.83,Ideal,E,SI2,62.2,57.0,2870.0,6.0,6.05,3.75,244
0.4,Ideal,E,VVS1,62.4,57.0,1333.0,4.67,4.72,2.93,245
0.71,Ideal,I,VVS2,62.0,54.0,2387.0,5.72,5.76,3.56,246
0.44,Very Good,E,VVS2,59.6,59.0,1337.0,4.98,4.99,2.97,247
1.09,Ideal,E,SI2,59.4,57.0,3760.0,6.74,6.65,3.98,248
1.01,Premium,H,SI2,59.6,60.0,3732.0,6.55,6.5,3.89,249
0.41,Ideal,D,VVS2,62.3,55.0,1295.0,4.76,4.77,2.97,250
0.3,Ideal,G,IF,62.2,56.0,850.0,4.26,4.29,2.66,251
1.54,Ideal,E,VS2,62.0,56.0,14529.0,7.46,7.43,4.61,252
0.33,Ideal,G,VVS1,61.7,55.0,838.0,4.44,4.48,2.75,253
0.55,Premium,F,VS1,60.3,58.0,1832.0,5.32,5.29,3.2,254
1.64,Premium,J,SI2,63.0,58.0,5624.0,7.54,7.49,4.74,255
0.72,Premium,E,SI2,62.9,58.0,2376.0,5.74,5.68,3.59,256
1.13,Premium,H,SI1,61.2,59.0,4689.0,6.68,6.65,4.08,257
0.7,Good,E,VS1,58.4,61.0,3419.0,5.85,5.89,3.43,258
1.04,Ideal,G,VVS2,61.4,57.0,6173.0,6.52,6.44,3.98,259
2.0,Fair,H,SI2,65.3,55.0,10752.0,7.88,7.79,5.12,260
0.34,Very Good,F,VS1,61.1,57.0,739.0,4.51,4.54,2.76,261
0.37,Very Good,G,VS1,58.4,59.0,657.0,4.76,4.69,2.76,262
1.21,Premium,I,VS2,62.2,59.0,5502.0,6.79,6.85,4.24,263
0.41,Premium,F,VVS2,60.6,58.0,1115.0,4.79,4.84,2.92,264
0.31,Premium,E,VS2,62.7,58.0,680.0,4.31,4.33,2.71,265
1.01,Premium,G,VS2,60.7,60.0,5864.0,6.49,6.45,3.93,266
1.0,Ideal,E,SI1,61.6,55.0,5880.0,6.45,6.43,3.97,267
0.35,Ideal,G,IF,62.0,54.0,1001.0,4.54,4.56,2.82,268
0.31,Ideal,E,VVS2,61.6,56.0,1074.0,4.39,4.35,2.69,269
0.31,Ideal,H,VVS2,62.8,57.0,802.0,4.33,4.3,2.71,270
2.01,Good,G,SI2,63.0,60.0,14745.0,7.92,7.99,5.01,271
1.22,Ideal,G,VS1,62.0,56.0,9339.0,6.83,6.88,4.24,272
1.01,Premium,F,SI2,58.3,58.0,3897.0,6.56,6.55,3.82,273
0.4,Premium,F,VS1,60.3,60.0,982.0,4.77,4.81,2.89,274
0.9,Premium,G,VS2,62.8,58.0,4137.0,6.14,6.09,3.84,275
1.06,Very Good,F,SI1,59.6,60.0,5491.0,6.61,6.68,3.96,276
0.72,Ideal,G,VVS1,61.7,55.0,3326.0,5.8,5.77,3.57,277
0.55,Premium,F,VS2,59.0,58.0,1931.0,5.38,5.33,3.16,278
1.0,Premium,E,SI1,59.7,57.0,5322.0,6.56,6.48,3.89,279
1.08,Ideal,G,SI2,62.2,56.0,4627.0,6.59,6.56,4.09,280
0.56,Premium,F,VS2,59.6,58.0,1654.0,5.34,5.36,3.19,281
1.17,Ideal,H,SI1,61.1,57.0,6368.0,6.77,6.83,4.16,282
0.51,Ideal,G,SI1,63.0,53.0,1312.0,5.13,5.1,3.22,283
0.31,Ideal,G,VVS2,61.7,57.0,671.0,4.36,4.39,2.7,284
0.5,Very Good,F,SI1,63.2,57.0,1220.0,5.03,5.06,3.19,285
0.35,Premium,F,VS2,62.1,60.0,906.0,4.51,4.45,2.78,286
1.05,Premium,D,SI1,60.5,60.0,5659.0,6.53,6.62,3.98,287
0.71,Fair,D,SI1,65.1,59.0,2352.0,5.59,5.56,3.63,288
0.5,Ideal,F,SI2,61.3,58.0,1020.0,5.1,5.12,3.13,289
0.7,Ideal,H,SI2,61.8,57.0,2298.0,5.67,5.72,3.52,290
0.35,Ideal,D,SI1,63.0,57.0,827.0,4.52,4.46,2.83,291
1.01,Very Geod,H,VS2,61.6,57.0,5393.0,6.41,6.44,3.96,292
0.75,Ideal,J,VS2,61.2,56.0,2104.0,5.86,5.9,3.6,293
1.01,Very Good,E,VS2,63.4,60.0,6787.0,6.37,6.31,4.02,294
0.25,Good,F,VS1,63.6,57.0,558.0,4.04,4.01,2.56,295
0.7,Premium,F,VVS1,62.4,56.0,3300.0,5.69,5.63,3.53,296
0.62,Very Good,D,SI1,62.4,58.0,1700.0,5.42,5.47,3.4,297
0.31,Premium,H,VVS1,60.5,58.0,707.0,4.4,4.43,2.67,298
0.71,Premium,G,SI2,59.9,59.0,1808.0,5.82,5.79,3.48,299
1.01,Premium,H,SI1,61.8,59.0,5204.0,6.38,6.33,3.93,300
0.31,Good,H,VS2,63.1,57.0,489.0,4.28,4.31,2.71,301
0.51,Premium,E,VS2,61.4,56.0,1733.0,5.18,5.15,3.17,302
1.0,Good,E,SI1,59.8,65.0,4213.0,6.56,6.45,3.89,303
0.32,Premium,D,SI1,60.8,58.0,756.0,4.44,4.41,2.69,304
0.91,Ideal,I,VVS2,60.6,57.0,4663.0,6.25,6.27,3.79,305
0.51,Ideal,G,SI1,61.6,56.0,1281.0,5.19,5.14,3.18,306
0.91,Very Good,G,VS2,64.0,56.6,4105.0,6.09,6.15,3.92,307
1.12,Ideal,G,VS2,62.2,54.0,7193.0,6.65,6.7,4.15,308
1.28,Good,H,SI2,63.8,55.0,4516.0,6.84,6.79,4.35,309
0.3,Ideal,D,SI1,61.6,56.0,709.0,4.34,4.3,2.66,310
0.57,Very Good,F,SI1,62.0,55.0,1346.0,5.32,5.37,3.32,311
1.23,Ideal,G,SI2,58.8,60.0,6005.0,7.01,7.08,4.14,312
1.19,Premium,G,VS1,62.6,58.0,8109.0,6.78,6.71,4.22,313
1.7,Premium,I,SI1,59.7,60.0,10501.0,7.77,7.72,4.62,314
0.7,Very Good,I,VS2,62.1,56.0,2188.0,5.7,5.74,3.55,315
0.94,Ideal,D,SI2,62.1,56.0,4182.0,6.21,6.25,3.87,316
0.51,Premium,F,VVS2,61.9,56.0,2310.0,5.17,5.13,3.19,317
0.7,Premium,G,SI2,58.9,59.0,1636.0,5.73,5.7,3.37,318
0.32,Ideal,E,VS2,62.7,55.0,702.0,4.36,4.38,2.74,319
0.3,Ideal,D,SI1,61.8,56.0,508.0,4.31,4.33,2.67,320
0.3,Premium,J,VS1,62.6,60.0,506.0,4.28,4.22,2.66,321
1.0,Ideal,F,VVS2,61.3,56.0,5914.0,6.44,6.41,3.94,322
0.33,Premium,I,SI1,61.3,59.0,445.0,4.46,4.51,2.75,323
0.34,Premium,G,VS2,62.0,59.0,765.0,4.47,4.43,2.76,324
0.41,Very Geod,H,VS1,63.5,56.0,1061.0,4.7,4.69,2.98,325
1.05,Very Good,H,VS2,63.2,58.0,5292.0,6.46,6.39,4.06,326
0.45,Fair,F,VS2,64.3,59.0,1080.0,4.8,4.75,3.07,327
0.61,Ideal,E,I1,63.4,57.0,1255.0,5.43,5.37,3.42,328
1.51,Good,I,VVS2,63.6,58.0,7255.0,7.29,7.26,4.63,329
0.34,Very Good,F,VS2,62.3,57.0,686.0,4.44,4.48,2.78,330
1.55,Very Good,H,SI2,62.5,61.0,8174.0,7.31,7.34,4.58,331
0.54,Premium,F,VS2,62.4,58.0,1691.0,5.25,5.2,3.26,332
0.34,Very Good,E,SI1,63.3,57.0,714.0,4.47,4.44,2.82,333
0.34,Premium,D,SI1,59.6,61.0,803.0,4.53,4.5,2.69,334
46.6881762468256,Very Good,D,SI2,61.6,57.0,5226.0,6.61,6.67,4.09,335
0.7,Very Good,H,SI1,62.6,57.0,1830.0,5.64,5.7,3.55,336
